TableA.xlsx - TABLE A
;Label;Parameter;Implication(s);Ga;Ck;Qui;Ka;Ku;Inu;TP;Rib;SMX;Mus;Aid;Ncs;RG;CT;SFM;RC;Nic;CZ;Cut;Ver;FS;Fel;PCa;SMC;FrM;Gar;Bar;BA;TA;Mes;Cel;Bot;TE;Sav;RE;Cor;Nov;PR;Cas;Pvi;MdL;TS;It;Sp;Nis;Fr;Ptg;PtgB;Rm;LNT;Lat;LSa;LIt;HG;ClG;NTG;SaG;CGA;CGB;Grk;RPG;Ph1;Ph2;Cap;CyG;Got;Bw;WS;E;Du;Afk;D;Da;Ice;FO;Nor;Swe;Blg;BlC;SC;Slo;Po;Rus;Ir;Wel;Ma;Hi;Far;Pas;Ta;Te;Man;Can;Jap;Kor;Ar;Heb;Hu;Kh1;Kh2;Est;Fin;mM1;mM2;Ud1;Ud2;Yu;Ev1;Ev2;Ek;Ya;Uz;Kaz;Kyr;Tur;Bur;cB;wB;Wo;Ee;Nde;Mal;Mly;Arc;Lak;Label;
28;FGE;± grammaticalized bounding classifier;-FGM, +FGC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FGE;27
29;FCN;± person spread to predicate nouns;+FGP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;FCN;28
30;HMP;± NP-heading modifier;;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;HMP;29
31;ARR;± free reduced relatives;;+;+;+;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;;;+;+;+;+;+;+;+;-;-;-;-;+;+;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;-;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;-;+;?;+;-;-;-;-;ARR;30
32;GCN;± head-marking with genitive;;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;-;-;+;-;-;-;GCN;31
33;GFN;± Person-controlled marking;+FGP, +GCN;?;?;0;?;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;+;+;+;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;-;0;0;+;0;0;0;GFN;32
34;GFP;± agreement with all pronouns;+GFN;?;?;0;?;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;+;0;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;0;0;0;0;0;+;0;0;0;GFP;33
35;GP3;± agreement with all 3rdPers DPs;+GFP;?;?;0;?;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;+;0;-;+;+;+;+;0;+;+;+;+;+;+;+;+;-;0;0;0;0;0;+;0;0;0;GP3;34
36;GEI;± genitive inversion;+GP3;?;?;0;?;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;0;0;-;-;-;-;0;-;-;-;-;-;-;-;-;0;0;0;0;0;0;-;0;0;0;GEI;51
37;CSE;± full c-selection;;+;+;-;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;CSE;35
